Type,Name,Category,Theme,Requirement Type,Requirement Value,Icon,Description,Benefit,Related Badges,Challenge Day
Action,Active Listening Session,Communication,communication,category_count,,ğŸ‘‚,Spend 15 minutes listening to your partner without offering solutions or advice. Just listen and understand.,Builds trust and makes your partner feel heard. Deep listening prevents misunderstandings and strengthens your emotional connection.,Communication Champion, Active Listener,1
Action,Express Gratitude,Communication,gratitude,gratitude_actions,,ğŸ™,Tell your partner one specific thing you're grateful for about them today.,Creates a positive atmosphere and strengthens bonds. Gratitude shifts focus to what's working in your relationship.,Gratitude Guru, Gratitude Champion,2
Action,Apologize Sincerely,Communication,communication,apology_actions,,ğŸ’¬,Apologize for something specific without making excuses. Acknowledge the impact.,Shows emotional maturity and accountability. Sincere apologies repair trust and demonstrate respect for your partner's feelings.,Apology Ace,
Action,Daily Check-In,Communication,communication,category_count,,ğŸ’­,Ask your partner: "How was your day?" and genuinely listen to their response.,Shows you care about their day. Regular check-ins create emotional intimacy and prevent small issues from becoming big problems.,Communication Champion,4
Action,Share Your Feelings,Communication,communication,category_count,,ğŸ’™,Open up about something you're feeling or experiencing. Be vulnerable.,Creates emotional intimacy and vulnerability. Sharing feelings builds deeper connection and helps your partner understand you better.,Communication Champion,3
Action,Plan a Surprise Date,Romance,romance,surprise_actions,,ğŸ,Plan and execute a surprise date or activity for your partner.,Keeps the relationship exciting and shows thoughtfulness. Surprises remind your partner they're important to you.,Surprise Specialist,4
Action,Write a Love Note,Romance,romance,category_count,,ğŸ’•,Write a handwritten note expressing your love and appreciation.,Tangible expression of love your partner can keep. Handwritten notes are personal and meaningful in our digital age.,Romance Master,1
Action,Date Night,Romance,romance,date_nights,,ğŸ·,Plan and execute a quality date night together.,Quality time strengthens connection. Regular date nights keep romance alive and help you reconnect away from daily stress.,Date Night Pro,5
Action,Physical Affection,Romance,romance,category_count,,ğŸ’‹,Give your partner 5 meaningful touches throughout the day (hug, kiss, hand hold, etc.).,Physical touch releases oxytocin (the bonding hormone). Regular affection maintains physical intimacy and emotional closeness.,Romance Master,3
Action,Compliment Your Partner,Romance,romance,category_count,,âœ¨,Give your partner a genuine, specific compliment about their character or actions.,Boosts your partner's confidence and makes them feel valued. Specific compliments are more meaningful than generic ones.,Romance Master,2
Action,Gratitude List,Gratitude,gratitude,gratitude_actions,,ğŸ“,List 5 things you're grateful for about your partner today.,Shifts focus to positives and cultivates appreciation. Listing gratitude helps you notice the good your partner brings daily.,Gratitude Guru, Gratitude Champion,
Action,Thank You for Chores,Gratitude,gratitude,gratitude_actions,,ğŸ™Œ,Thank your partner for something they did around the house without being asked.,Acknowledges their efforts and prevents resentment. Recognizing contributions makes partners feel seen and appreciated.,Gratitude Guru, Gratitude Champion,
Action,Appreciate Their Effort,Gratitude,gratitude,gratitude_actions,,ğŸŒŸ,Acknowledge and appreciate a specific effort your partner made recently.,Validates their hard work and motivates continued effort. Recognition is a powerful relationship currency.,Gratitude Guru, Gratitude Champion,
Action,Gratitude Text,Gratitude,gratitude,gratitude_actions,,ğŸ“±,Send your partner a text expressing gratitude for something they did.,Quick way to brighten their day. Texting shows you're thinking of them even when apart.,Gratitude Guru, Gratitude Champion,
Action,Morning Gratitude,Gratitude,gratitude,gratitude_actions,,ğŸŒ…,Start the day by telling your partner one thing you appreciate about them.,Sets a positive tone for the day. Starting with appreciation creates a warm, connected atmosphere.,Gratitude Guru, Gratitude Champion,
Action,Take Over a Chore,Partnership,partnership,category_count,,ğŸ§¹,Do one of your partner's regular chores without being asked.,Shows you're a true partner, not just a roommate. Taking initiative prevents the mental load from falling on one person.,Partnership Pro,
Action,Support Their Goal,Partnership,partnership,support_actions,,ğŸ’ª,Ask about and actively support one of your partner's personal or professional goals.,Shows you're invested in their happiness and success. Supporting goals creates a team mentality in your relationship.,Support System,
Action,Handle a Responsibility,Partnership,partnership,category_count,,ğŸ¤,Take on one of your partner's responsibilities to give them a break.,Gives your partner a break and shows care. Handling responsibilities demonstrates partnership and reduces their stress.,Partnership Pro,
Action,Plan Together,Partnership,partnership,category_count,,ğŸ“…,Sit down and plan something together (vacation, home project, weekend, etc.).,Creates shared purpose and unity. Planning together strengthens teamwork and builds anticipation for shared experiences.,Partnership Pro,
Action,Be Proactive,Partnership,partnership,category_count,,âš¡,Notice something that needs to be done and do it without being asked.,Prevents small tasks from becoming sources of resentment. Being proactive shows thoughtfulness and consideration.,Partnership Pro,
Action,Love Language Practice,Intimacy,intimacy,love_languages,,ğŸ’,Practice one of the 5 love languages intentionally today.,Speaking their love language makes them feel deeply loved. Understanding and practicing love languages transforms relationships.,Love Language Learner,6
Action,Quality Time,Intimacy,intimacy,category_count,,â°,Spend 30 minutes of uninterrupted quality time with your partner (no phones).,Uninterrupted time deepens connection. Quality time without distractions shows your partner they're your priority.,Intimacy Expert,7
Action,Physical Touch,Intimacy,intimacy,category_count,,ğŸ¤—,Initiate physical affection (hug, kiss, cuddle) without expecting anything in return.,Physical touch releases bonding hormones. Regular, non-sexual touch maintains intimacy and emotional connection.,Intimacy Expert,
Action,Acts of Service,Intimacy,intimacy,love_languages,,ğŸ› ï¸,Do something helpful for your partner as an act of service.,Actions speak louder than words. Acts of service show love through deeds, not just words.,Love Language Learner,
Action,Words of Affirmation,Intimacy,intimacy,love_languages,,ğŸ’¬,Give your partner specific words of affirmation about who they are.,Words have power. Affirmations boost confidence and make your partner feel valued and appreciated.,Love Language Learner,
Action,Resolve a Disagreement,Conflict Resolution,conflict,conflict_resolutions,,âš–ï¸,Successfully resolve a disagreement using "I" statements and active listening.,Prevents resentment from building. Healthy conflict resolution strengthens relationships instead of weakening them.,Conflict Resolver, Peacemaker,
Action,Take Responsibility,Conflict Resolution,conflict,conflict_resolutions,,ğŸ™‹,Take responsibility for your part in a conflict without blaming.,Shows maturity and accountability. Taking responsibility prevents defensiveness and opens the door to resolution.,Conflict Resolver, Peacemaker,
Action,Find Common Ground,Conflict Resolution,conflict,conflict_resolutions,,ğŸ¤,Find common ground in a disagreement and work toward a solution together.,Turns conflict into collaboration. Finding common ground transforms disagreements into opportunities for growth.,Conflict Resolver, Peacemaker,
Action,Stay Calm,Conflict Resolution,conflict,conflict_resolutions,,ğŸ§˜,Stay calm and respectful during a disagreement, even when emotions run high.,Prevents escalation and shows respect. Staying calm demonstrates emotional control and consideration for your partner.,Conflict Resolver, Peacemaker,
Action,Apologize and Make Amends,Conflict Resolution,conflict,conflict_resolutions,,ğŸ’š,Apologize for a mistake and take concrete steps to make amends.,Repairs trust and heals hurts. Making amends shows you're committed to improving and learning from mistakes.,Apology Ace,
Action,Go for a Hike Together,Outdoor Activities,outdoor,outdoor_actions,,â›°ï¸,Plan and go on a hike with your partner. Explore nature together and disconnect from daily stress.,Nature reduces stress and promotes bonding. Hiking together creates shared experiences and deep conversations away from distractions.,Nature Lover, Hiking Hero, Trail Blazer,
Action,Morning Walk,Outdoor Activities,outdoor,walk_actions,,ğŸš¶,Start the day with a walk together, even if it's just 15 minutes around the neighborhood.,Morning walks boost mood and set a positive tone. Starting the day together creates connection before life gets busy.,Walking Duo,
Action,Evening Stroll,Outdoor Activities,outdoor,walk_actions,,ğŸŒ™,Take a relaxing evening walk together. Use this time to connect and talk about your day.,Evening walks are perfect for processing the day. Walking together encourages open conversation and stress relief.,Walking Duo,
Action,Go Streaking (Alone Together),Outdoor Activities,outdoor,streaking_actions,,ğŸŒŸ,Find a private outdoor spot and go streaking together - feel free and adventurous as a couple.,Adventure and playfulness keep relationships fun. Spontaneous activities create memorable moments and shared laughter.,Streaking Stars,
Action,Picnic in Nature,Outdoor Activities,outdoor,outdoor_actions,,ğŸ§º,Pack a lunch and find a beautiful outdoor spot for a picnic together.,Nature and food are a perfect combination. Picnics create intimate, relaxed settings for quality conversation and connection.,Nature Lover,
Action,Stargazing Date,Outdoor Activities,outdoor,outdoor_actions,,â­,Find a spot away from city lights and spend time stargazing together. Bring blankets and hot drinks.,Stargazing inspires wonder and perspective. Looking at the stars together creates quiet, meaningful moments of connection.,Nature Lover,
Action,Bike Ride Together,Outdoor Activities,outdoor,outdoor_actions,,ğŸš´,Go on a bike ride together. Explore local trails or bike paths in your area.,Exercise together is relationship-building. Bike rides combine physical activity with quality time and shared exploration.,Nature Lover,
Action,Beach Day,Outdoor Activities,outdoor,outdoor_actions,,ğŸ–ï¸,Spend a day at the beach together - swim, walk along the shore, or just relax in the sun.,Beach days are naturally relaxing and fun. Water, sun, and sand create the perfect environment for unwinding together.,Nature Lover, Water Lovers,
Action,Camping Trip,Outdoor Activities,outdoor,camping_actions,,â›º,Plan and execute a camping trip together, even if it's just in your backyard.,Camping strips away distractions and builds teamwork. Shared challenges and nature create lasting memories and stronger bonds.,Camping Couple,
Action,Nature Photography Walk,Outdoor Activities,outdoor,outdoor_actions,,ğŸ“¸,Take a walk with your phones/camera and capture beautiful moments in nature together.,Capturing moments together creates lasting memories. Photography walks combine creativity, nature, and quality time.,Nature Lover,
Action,Explore a New Place,Adventure,adventure,adventure_actions,,ğŸ—ºï¸,Visit a new park, trail, or outdoor area you haven't been to before.,New experiences create shared memories. Exploring together keeps the relationship fresh and exciting.,Adventure Seekers, First Adventure, Explorer Extraordinaire, Ultimate Explorer,
Action,Sunrise or Sunset Watch,Adventure,adventure,adventure_actions,,ğŸŒ…,Wake up early to watch the sunrise together, or find a spot to watch the sunset.,Sunrises and sunsets inspire awe and gratitude. These moments create quiet, profound connection and perspective.,Adventure Seekers, Sunrise Chasers,
Action,Outdoor Workout,Adventure,adventure,outdoor_actions,,ğŸ’ª,Do an outdoor workout together - running, calisthenics, or yoga in the park.,Exercise together strengthens both body and relationship. Outdoor workouts combine health, nature, and connection.,Nature Lover,
Action,Rock Climbing,Adventure,adventure,adventure_actions,,ğŸ§—,Try rock climbing together, either at a climbing gym or outdoor climbing spot.,Challenge and support each other. Rock climbing builds trust, communication, and shared achievement.,Adventure Seekers, Daredevil Duo,
Action,Kayaking or Canoeing,Adventure,adventure,water_activities,,ğŸ›¶,Rent kayaks or canoes and spend time on the water together.,Water activities are naturally playful and bonding. Kayaking requires teamwork and creates fun, memorable experiences.,Water Lovers,
Action,Geocaching Adventure,Adventure,adventure,adventure_actions,,ğŸ—ºï¸,Try geocaching together - use an app to find hidden treasures in your area.,Adventure and problem-solving combined. Geocaching creates excitement, teamwork, and shared exploration of your area.,Adventure Seekers,
Action,Outdoor Game Day,Adventure,adventure,outdoor_actions,,ğŸ¾,Play outdoor games together - frisbee, catch, badminton, or any activity you both enjoy.,Play keeps relationships fun and light. Games create laughter, competition, and connection without pressure.,Nature Lover,
Action,Scenic Drive,Adventure,adventure,adventure_actions,,ğŸš—,Take a scenic drive together to a beautiful lookout point or scenic route.,Scenic drives create relaxed conversation opportunities. Beautiful views provide natural conversation starters and shared appreciation.,Adventure Seekers,
Action,Outdoor Concert or Event,Adventure,adventure,adventure_actions,,ğŸµ,Attend an outdoor concert, festival, or community event together.,Shared experiences create lasting memories. Events and concerts provide excitement, conversation topics, and connection.,Adventure Seekers,
Action,Garden Together,Adventure,adventure,outdoor_actions,,ğŸŒ»,Work on a garden together, whether it's planting flowers, vegetables, or maintaining your outdoor space.,Creating something together builds pride and teamwork. Gardening teaches patience and creates shared accomplishment.,Nature Lover,
Action,Run Together,Active Together,active,run_actions,,ğŸƒ,Go for a run together, even if you run at different paces - you can meet up at the end.,Exercise together strengthens both health and relationship. Running together creates accountability, shared goals, and quality time.,Running Partners,
Action,Yoga in Nature,Active Together,active,outdoor_actions,,ğŸ§˜,Do a yoga session together outdoors - in your backyard, a park, or beach.,Yoga promotes mindfulness and connection. Practicing together creates calm, presence, and physical closeness.,Nature Lover,
Action,Swimming,Active Together,active,water_activities,,ğŸŠ,Go swimming together - at a pool, lake, or beach. Enjoy the water together.,Water activities are naturally fun and playful. Swimming together combines exercise with relaxation and connection.,Water Lovers,
Action,Disc Golf,Active Together,active,outdoor_actions,,ğŸ¥,Try disc golf together at a local course. It's fun, casual, and gets you moving outside.,Casual, fun activity for all fitness levels. Disc golf combines friendly competition with outdoor time and conversation.,Nature Lover,
Action,Hiking Challenge,Active Together,active,hiking_actions,,â›°ï¸,Complete a challenging hike together - pick something that pushes you both a bit.,Challenges create growth and shared achievement. Difficult hikes build resilience, teamwork, and lasting memories.,Hiking Hero, Trail Blazer,
Action,Outdoor Sports,Active Together,active,sports_actions,,âš½,Play a sport together outside - tennis, basketball, volleyball, or any sport you both enjoy.,Sports create friendly competition and fun. Playing together keeps relationships playful and active.,Active Couple, Fitness Friends,
Action,Long Distance Walk,Active Together,active,walk_actions,,ğŸš¶â€â™‚ï¸,Take a longer walk together - aim for at least an hour and use it as quality time.,Long walks create space for deep conversation. Extended time together without distractions fosters intimacy and understanding.,Walking Duo,
Action,Outdoor Meditation,Active Together,active,outdoor_actions,,ğŸ§˜â€â™‚ï¸,Find a quiet outdoor spot and meditate together, even if just for 10 minutes.,Meditation reduces stress and increases presence. Practicing together creates calm, connection, and emotional regulation.,Nature Lover,
Action,Trail Running,Active Together,active,run_actions,,ğŸƒâ€â™€ï¸,Go trail running together on a nature trail or hiking path.,Nature trails provide beautiful settings for exercise. Trail running combines physical challenge with natural beauty and connection.,Running Partners,
Action,Outdoor Dance,Active Together,active,outdoor_actions,,ğŸ’ƒ,Find an outdoor space and dance together - let loose and have fun in nature.,Dancing is joyful, playful, and bonding. Moving together releases endorphins and creates fun, memorable moments.,Nature Lover,
Action,Have a 20-Minute Conversation,Roommate Syndrome Recovery,reconnection,connection_actions,,ğŸ’¬,Set aside 20 minutes with no phones or distractions. Ask your partner about their day and actually listen without offering solutions.,Creates space for meaningful connection. Undistracted time rebuilds emotional intimacy that gets lost in daily routines.,Connection Builder, Roommate Syndrome Survivor, Connection Champion,1
Action,Ask About Their Inner World,Roommate Syndrome Recovery,reconnection,connection_actions,,ğŸ¤”,Ask your partner 5 questions about their thoughts, feelings, dreams, or concerns. Listen with curiosity, not judgment.,Shows you care about who they are, not just what they do. Deep questions rebuild the emotional connection that makes you partners, not roommates.,Connection Builder, Roommate Syndrome Survivor, Connection Champion,3
Action,State of the Union Conversation,Roommate Syndrome Recovery,reconnection,connection_actions,,ğŸ“Š,Have a "state of the union" conversation about your relationship. Discuss what's working, what isn't, and how you can both improve.,Prevents small issues from becoming big problems. Regular relationship check-ins keep you aligned and connected.,Connection Builder, Roommate Syndrome Survivor, Connection Champion,7
Action,Do Something You Used to Enjoy,Roommate Syndrome Recovery,reconnection,connection_actions,,ğŸ­,Remember something you both used to love doing together. Do it again, even if it feels awkward at first.,Reconnects you to the fun, playful couple you used to be. Shared positive experiences rebuild emotional bonds.,Connection Builder, Roommate Syndrome Survivor, Connection Champion,5
Action,Plan a Surprise That Shows You Know Them,Roommate Syndrome Recovery,reconnection,connection_actions,,ğŸ,Plan something specific that shows you pay attention to your partner's interests, preferences, or needs.,Demonstrates you see them as an individual, not just a roommate. Thoughtful surprises rebuild romantic connection.,Connection Builder, Roommate Syndrome Survivor, Connection Champion,7
Action,Listen Without Fixing,Roommate Syndrome Recovery,communication,communication_actions,,ğŸ‘‚,When your partner shares something, listen to understand, not to solve. Ask follow-up questions instead of offering solutions.,Shows you value their feelings over fixing problems. Emotional validation rebuilds trust and connection.,Communication Rebuilder, Roommate Syndrome Survivor, Connection Champion,6
Action,Share One Feeling Today,Roommate Syndrome Recovery,communication,communication_actions,,ğŸ’­,Share one genuine feeling with your partner - something you're happy about, worried about, or excited about.,Vulnerability creates intimacy. Sharing feelings moves you from roommates to partners who know each other deeply.,Communication Rebuilder, Roommate Syndrome Survivor, Connection Champion,
Action,Ask: What Can I Do to Make You Feel More Loved?,Roommate Syndrome Recovery,communication,communication_actions,,â“,Directly ask your partner what would make them feel more loved, appreciated, or connected to you.,Gets specific, actionable answers. Your partner knows what they need - asking shows you care enough to find out.,Communication Rebuilder, Roommate Syndrome Survivor, Connection Champion,
Action,Practice the 5:1 Ratio,Roommate Syndrome Recovery,communication,communication_actions,,âš–ï¸,Make 5 positive comments or gestures before any criticism or complaint. Focus on what's working.,Research shows healthy relationships need 5 positive interactions for every negative one. This ratio rebuilds connection.,Communication Rebuilder, Roommate Syndrome Survivor, Connection Champion,
Action,Create a Love Map,Roommate Syndrome Recovery,intimacy,intimacy_actions,,ğŸ—ºï¸,Ask your partner 20 questions about their inner world - hopes, fears, dreams, stresses, joys. Build your "love map" of who they are.,Based on Gottman research. Knowing your partner's inner world is the foundation of emotional intimacy and connection.,Intimacy Restorer, Roommate Syndrome Survivor, Connection Champion,4
Action,Practice Turning Toward,Roommate Syndrome Recovery,intimacy,intimacy_actions,,ğŸ”„,When your partner makes a "bid" for attention (comment, question, gesture), respond positively. Turn toward them, not away.,Gottman research shows turning toward bids is crucial for connection. Small positive responses build big emotional bonds.,Intimacy Restorer, Roommate Syndrome Survivor, Connection Champion,6
Action,Share Gratitude for Who They Are,Roommate Syndrome Recovery,intimacy,intimacy_actions,,ğŸ’,Tell your partner something you appreciate about their character, not just what they do. Focus on who they are as a person.,Appreciating character, not just actions, shows you see them deeply. This moves you from transactional to relational.,Intimacy Restorer, Roommate Syndrome Survivor, Connection Champion,
Action,Tech-Free Quality Time,Roommate Syndrome Recovery,quality_time,quality_time_actions,,ğŸ“µ,Spend 30 minutes together with phones put away. No TV, no distractions. Just be present with each other.,Removes the distractions that create roommate syndrome. Undistracted presence rebuilds the connection that got lost in busyness.,Roommate Syndrome Survivor, Connection Champion,2
Action,Weekly Date Night Conversation,Roommate Syndrome Recovery,quality_time,quality_time_actions,,ğŸ—£ï¸,Have a weekly "date night" that's just conversation - not an activity. Talk about your relationship, dreams, or just catch up deeply.,Regular deep conversations prevent roommate syndrome. Talking about more than logistics keeps you emotionally connected.,Roommate Syndrome Survivor, Connection Champion,
Action,Morning or Evening Ritual,Roommate Syndrome Recovery,quality_time,quality_time_actions,,â˜•,Create a small daily ritual together - morning coffee, evening walk, or bedtime check-in. Consistency builds connection.,Small daily rituals create predictable connection points. Consistency rebuilds the rhythm of partnership.,Roommate Syndrome Survivor, Connection Champion,
Action,Non-Sexual Physical Touch,Roommate Syndrome Recovery,intimacy,intimacy_actions,,ğŸ¤—,Give your partner physical affection that isn't sexual - hugs, hand-holding, back rubs, cuddling. Rebuild physical connection.,Physical touch releases oxytocin (bonding hormone). Non-sexual touch rebuilds the physical connection that makes you feel like partners.,Intimacy Restorer, Roommate Syndrome Survivor, Connection Champion,
Action,Sit Close and Talk,Roommate Syndrome Recovery,intimacy,intimacy_actions,,ğŸ‘«,Instead of sitting across from each other, sit side-by-side and have a conversation. Physical proximity increases emotional connection.,Physical proximity increases emotional intimacy. Side-by-side conversations feel more connected than face-to-face.,Intimacy Restorer, Roommate Syndrome Survivor, Connection Champion,
Badge,First Steps,Consistency,consistency,total_actions,1,ğŸŒ±,Complete your first daily action,,,
Badge,Week Warrior,Consistency,consistency,streak_days,7,ğŸ”¥,Complete actions for 7 days straight,,,
Badge,Month Master,Consistency,consistency,streak_days,30,ğŸ’ª,Complete actions for 30 days straight,,,
Badge,Century Club,Consistency,consistency,total_actions,100,ğŸ’¯,Complete 100 total actions,,,
Badge,Daily Dedication,Consistency,consistency,streak_days,14,â­,Complete actions for 14 days straight,,,
Badge,Quarter Champion,Consistency,consistency,streak_days,90,ğŸ†,Complete actions for 90 days straight,,,
Badge,Year Warrior,Consistency,consistency,streak_days,365,ğŸ‘‘,Complete actions for 365 days straight,,,
Badge,Early Bird,Consistency,consistency,early_morning_streak,7,ğŸŒ…,Complete your action before 9 AM for 7 days,,,
Badge,Night Owl,Consistency,consistency,evening_streak,7,ğŸ¦‰,Complete your action after 8 PM for 7 days,,,
Badge,Steady Hand,Consistency,consistency,total_actions,50,ğŸ¯,Complete 50 actions without missing a day,,,
Badge,Romance Rookie,Big Idea,big_idea,category_count,5,ğŸ’•,Complete 5 romance-focused actions,,,
Badge,Communication Champion,Big Idea,big_idea,category_count,10,ğŸ’¬,Complete 10 communication-focused actions or tips,,,
Badge,Surprise Specialist,Big Idea,big_idea,surprise_actions,3,ğŸ,Plan and execute 3 surprise dates or activities,,,
Badge,Apology Ace,Big Idea,big_idea,apology_actions,3,ğŸ™,Sincerely apologize and make amends 3 times,,,
Badge,Support System,Big Idea,big_idea,support_actions,1,ğŸ¤,Support your partner through a major goal or challenge,,,
Badge,Date Night Pro,Big Idea,big_idea,date_nights,5,ğŸ·,Plan and execute 5 quality date nights,,,
Badge,Gratitude Guru,Big Idea,big_idea,gratitude_actions,20,ğŸ™Œ,Express specific gratitude 20 times,,,
Badge,Conflict Resolver,Big Idea,big_idea,conflict_resolutions,5,âš–ï¸,Successfully resolve 5 conflicts constructively,,,
Badge,Love Language Learner,Big Idea,big_idea,love_languages,5,ğŸ’,Actively practice all 5 love languages,,,
Badge,Relationship Architect,Big Idea,big_idea,milestone_actions,1,ğŸ—ï¸,Complete a major relationship milestone or goal together,,,
Badge,Active Listener,Big Idea,big_idea,category_count,5,ğŸ‘‚,Complete 5 active listening actions,,,
Badge,Romance Master,Big Idea,big_idea,category_count,10,ğŸ’•,Complete 10 romance-focused actions or tips,,,
Badge,Gratitude Champion,Big Idea,big_idea,gratitude_actions,15,ğŸŒŸ,Complete 15 gratitude actions,,,
Badge,Partnership Pro,Big Idea,big_idea,category_count,10,ğŸ¤,Complete 10 partnership-focused actions or tips,,,
Badge,Intimacy Expert,Big Idea,big_idea,category_count,10,ğŸ’,Complete 10 intimacy-focused actions or tips,,,
Badge,Peacemaker,Big Idea,big_idea,conflict_resolutions,3,ğŸ•Šï¸,Resolve 3 conflicts using healthy communication,,,
Badge,Quick Start,Consistency,consistency,streak_days,3,ğŸŒ±,Complete actions for 3 days straight,,,
Badge,Three Day Warrior,Consistency,consistency,streak_days,3,â­,Complete 3 actions in a row,,,
Badge,Consistent Companion,Consistency,consistency,streak_days,3,ğŸ¯,Complete actions for 3 consecutive days,,,
Badge,Building Momentum,Consistency,consistency,streak_days,3,ğŸ”¥,3 days of action completion,,,
Badge,Habit Starter,Consistency,consistency,streak_days,3,ğŸ’ª,Complete 3 days in a row,,,
Badge,Five Day Champ,Consistency,consistency,streak_days,5,ğŸ…,Complete actions for 5 days straight,,,
Badge,Weekday Warrior,Consistency,consistency,streak_days,5,âš¡,Complete actions for 5 consecutive days,,,
Badge,Nature Lover,Big Idea,big_idea,outdoor_actions,5,ğŸŒ²,Complete 5 outdoor activities together,,,
Badge,Hiking Hero,Big Idea,big_idea,hiking_actions,3,â›°ï¸,Go on 3 hikes together,,,
Badge,Trail Blazer,Big Idea,big_idea,hiking_actions,5,ğŸ¥¾,Complete 5 hiking adventures together,,,
Badge,Walking Duo,Big Idea,big_idea,walk_actions,10,ğŸš¶,Go on 10 walks together,,,
Badge,Streaking Stars,Big Idea,big_idea,streaking_actions,3,ğŸŒŸ,Go streaking together 3 times,,,
Badge,Adventure Seekers,Big Idea,big_idea,adventure_actions,5,ğŸ—ºï¸,Complete 5 adventure activities together,,,
Badge,Camping Couple,Big Idea,big_idea,camping_actions,2,â›º,Go camping together 2 times,,,
Badge,Water Lovers,Big Idea,big_idea,water_activities,3,ğŸ’§,Complete 3 water activities together,,,
Badge,Running Partners,Big Idea,big_idea,run_actions,5,ğŸƒ,Go running together 5 times,,,
Badge,Outdoor Enthusiasts,Big Idea,big_idea,outdoor_actions,10,ğŸŒ³,Complete 10 outdoor activities together,,,
Badge,Active Couple,Big Idea,big_idea,sports_actions,5,ğŸ‹ï¸,Complete 5 active/athletic activities together,,,
Badge,Fitness Friends,Big Idea,big_idea,sports_actions,10,ğŸ’ª,Complete 10 active activities together,,,
Badge,First Adventure,Big Idea,big_idea,adventure_actions,1,ğŸ‰,Complete your first adventure activity together,,,
Badge,Daredevil Duo,Big Idea,big_idea,adventure_actions,3,ğŸ”¥,Complete 3 adventurous or daring activities together,,,
Badge,Sunrise Chasers,Big Idea,big_idea,adventure_actions,5,ğŸŒ…,Watch 5 sunrises or sunsets together,,,
Badge,Explorer Extraordinaire,Big Idea,big_idea,adventure_actions,5,ğŸ—ºï¸,Visit 5 new places together,,,
Badge,Weekend Warriors,Consistency,consistency,weekend_streak,10,ğŸ¯,Complete actions for 10 consecutive weekends,,,
Badge,Action Accumulator,Consistency,consistency,total_actions,25,ğŸ“Š,Complete 25 total actions,,,
Badge,Super Streaker,Consistency,consistency,streak_days,21,ğŸ”¥,Complete actions for 21 days straight,,,
Badge,Double Century,Consistency,consistency,total_actions,200,ğŸ’¯,Complete 200 total actions,,,
Badge,Outdoor Master,Big Idea,big_idea,outdoor_actions,20,ğŸï¸,Complete 20 outdoor activities together,,,
Badge,Adventure Legends,Big Idea,big_idea,adventure_actions,10,âš”ï¸,Complete 10 adventure activities together,,,
Badge,Habit Hero,Consistency,consistency,streak_days,60,ğŸ‘‘,Complete actions for 60 days straight,,,
Badge,Consistency King,Consistency,consistency,streak_days,45,ğŸ–ï¸,Complete actions for 45 days straight,,,
Badge,Action All-Star,Consistency,consistency,total_actions,150,â­,Complete 150 total actions,,,
Badge,Outdoor Icon,Big Idea,big_idea,outdoor_actions,30,ğŸ†,Complete 30 outdoor activities together,,,
Badge,Ultimate Explorer,Big Idea,big_idea,adventure_actions,10,ğŸŒ,Visit 10 new places together,,,
Badge,Connection Builder,Roommate Syndrome Recovery,consistency,category_count,5,ğŸ”—,Completed 5 reconnection actions,,,
Badge,Communication Rebuilder,Roommate Syndrome Recovery,consistency,category_count,5,ğŸ’¬,Completed 5 communication rebuilders,,,
Badge,Intimacy Restorer,Roommate Syndrome Recovery,consistency,category_count,5,ğŸ’•,Completed 5 emotional intimacy builders,,,
Badge,Roommate Syndrome Survivor,Roommate Syndrome Recovery,consistency,category_count,10,ğŸ†,Completed 10 Roommate Syndrome Recovery actions,,,
Badge,Connection Champion,Roommate Syndrome Recovery,consistency,category_count,15,ğŸ‘‘,Completed 15 Roommate Syndrome Recovery actions,,,
Badge,Challenge Starter,Challenges,consistency,challenge_joined,1,ğŸ¯,Joined your first weekly challenge,,,
Badge,Communication Champion (Challenge),Challenges,consistency,challenge_completed,1,ğŸ’¬,Completed the 7-Day Communication Challenge,,,
Badge,Connection Restorer,Challenges,consistency,challenge_completed,1,ğŸ”—,Completed the 7-Day Roommate Syndrome Recovery Challenge,,,
Badge,Romance Reviver,Challenges,consistency,challenge_completed,1,ğŸ’•,Completed the 7-Day Romance Challenge,,,
Badge,Challenge Master,Challenges,consistency,challenge_completed,3,ğŸ†,Completed 3 weekly challenges,,,
Badge,Challenge Legend,Challenges,consistency,challenge_completed,5,ğŸ‘‘,Completed 5 weekly challenges,,,

